date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:17	59/59	---MCZ	200	added ('OK')	text/plain	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/robots.txt		(from )
22:35:17	1803/1803	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/	C:/My%20Web%20Sites/test/christopher.su/index.html	(from )
22:35:17	5790/5790	---M-Z	200	added ('OK')	application/javascript	etag:%22190ec8b9d42c6096c9807b771661a37d%22	https://christopher.su/cdn-cgi/apps/head/Md70coOFj-W1ipSNpRLrMg41doI.js	C:/My%20Web%20Sites/test/christopher.su/cdn-cgi/apps/head/Md70coOFj-W1ipSNpRLrMg41doI.js	(from https://christopher.su/)
22:35:18	10272/10272	---MCZ	200	added ('OK')	text/css	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/assets/css/home_v2.css	C:/My%20Web%20Sites/test/christopher.su/assets/css/home_v2.css	(from https://christopher.su/)
22:35:19	1011/1011	---MCZ	200	added ('OK')	image/x-icon	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/public/favicon.ico	C:/My%20Web%20Sites/test/christopher.su/public/favicon.ico	(from https://christopher.su/)
22:35:20	173841/173841	---MCZ	200	added ('OK')	application/xml	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/atom.xml	C:/My%20Web%20Sites/test/christopher.su/atom.xml	(from https://christopher.su/)
22:35:21	24761/24761	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/assets/js/p.js	C:/My%20Web%20Sites/test/christopher.su/assets/js/p.js	(from https://christopher.su/)
22:35:21	3896/3896	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/contact/	C:/My%20Web%20Sites/test/christopher.su/contact/index.html	(from https://christopher.su/)
22:35:21	60966/60966	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/projects/	C:/My%20Web%20Sites/test/christopher.su/projects/index.html	(from https://christopher.su/)
22:35:22	3399/3399	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/about/	C:/My%20Web%20Sites/test/christopher.su/about/index.html	(from https://christopher.su/)
